users_id,users_trades_id,users_trades_createdAtDatetime,users_trades_sourceAmount,users_trades_targetAmount,users_trades_tradingFeeAmount,users_trades_pair_id,users_trades_pair_token0_id,users_trades_pair_token0_symbol,users_trades_pair_token1_id,users_trades_pair_token1_symbol
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xe039551a7706a668afb28839f4468f0e4d0f550ed995805d7482ee1d26742da70d000000,2024-03-22 18:25:11,365649888785398821426192,4819969378,9659258,0x1294f4183763743c7c9519bec51773fb3acd78fd-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1294f4183763743c7c9519bec51773fb3acd78fd,FI,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x2a4f7ea9e678e939fc29f62e75c596167591efb3e6609d24222b31bc3a15a34f57000000,2024-03-21 16:39:47,264822689140830622309,68978480595133766207,138233428046360253,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c-0x8a854288a5976036a725879164ca3e91d30c6a1b,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,0x8a854288a5976036a725879164ca3e91d30c6a1b,GET
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xe4497ef49b817c66fea44d83cbc5206113365ab673fd01dea7d7d628c4d03ac476000000,2024-03-21 04:27:11,2120621949,154916318711934223424526,310453544512894235320,0x1294f4183763743c7c9519bec51773fb3acd78fd-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1294f4183763743c7c9519bec51773fb3acd78fd,FI,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x849c6dafa4b54701a1616c3b48cb019bf6e1ed4e74b5ce4493a8bdada40bf30a41000000,2024-03-21 03:24:11,1201743954040946717482,321407782018074753048,644103771579308123,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c-0x8a854288a5976036a725879164ca3e91d30c6a1b,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,0x8a854288a5976036a725879164ca3e91d30c6a1b,GET
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xc8cf47abd82af8683baa9320b68f670f574f07b09976dc949d64dd16db41562c31000000,2024-03-20 22:47:59,2570010258,192934154940064834836402,386641593066262194061,0x1294f4183763743c7c9519bec51773fb3acd78fd-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1294f4183763743c7c9519bec51773fb3acd78fd,FI,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x7b21b465cb701abbcda8c4c5863696bc2b20c11ff875dddea0bd1fc1fb77432a99000000,2024-03-20 22:28:11,1146023620781010346968,319936790764892312432,641155893316417460,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c-0x8a854288a5976036a725879164ca3e91d30c6a1b,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,0x8a854288a5976036a725879164ca3e91d30c6a1b,GET
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x7d588635e257b0108adf2e5ac26cefa017c9489b5322a4507e48124df9605ffbb0000000,2024-03-19 09:12:59,127833110190340845909,630502983340882180951,1263533032747258880,0x02f92800f57bcd74066f5709f1daa1a4302df875-0x6b175474e89094c44da98b954eedeac495271d0f,0x02f92800f57bcd74066f5709f1daa1a4302df875,PEAS,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xb5aa432a05ea2987949f2e8a1bd026fcdeabb0af69ecaf34ca474b9f5ad3a95c0d010000,2024-03-19 03:17:35,115149788620625881324509,118208375,236891,0x7b4328c127b85369d9f82ca0503b000d09cf9180-0xdac17f958d2ee523a2206206994597c13d831ec7,0x7b4328c127b85369d9f82ca0503b000d09cf9180,DC,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xc68849b3e5fcd6ba40ce562e2870ccb7a20fabafbc3253a2af5c3a6340291ade51000000,2024-03-18 22:11:47,126370180282912001060464,1512776324,3031616,0x1294f4183763743c7c9519bec51773fb3acd78fd-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1294f4183763743c7c9519bec51773fb3acd78fd,FI,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x1509e66ff7589c5228b70d68bfa5273f434d9a434b612741469ce2594d7e16565b010000,2024-03-18 21:03:59,83806154151049058002981,1077894230,2160109,0x1294f4183763743c7c9519bec51773fb3acd78fd-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1294f4183763743c7c9519bec51773fb3acd78fd,FI,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x8a8f5dc912e1a06740eba8e05ea97604aa6311ee24c38678e7cf9a668b226f1b4d000000,2024-03-17 14:13:47,480916851226744810045,93447501302458181276,187269541688292949,0x02f92800f57bcd74066f5709f1daa1a4302df875-0x6b175474e89094c44da98b954eedeac495271d0f,0x02f92800f57bcd74066f5709f1daa1a4302df875,PEAS,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x12cb3594022709660e7e11716c4805f4ef728768e9c20f49f4ec17011dd6933e87000000,2024-03-16 16:55:23,91561907205261571569,460713220859659278364,923272987694707973,0x02f92800f57bcd74066f5709f1daa1a4302df875-0x6b175474e89094c44da98b954eedeac495271d0f,0x02f92800f57bcd74066f5709f1daa1a4302df875,PEAS,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xc53ecd90dd05b5cf1c30e4ffc978a77bf3ff83ea68acca1cd5ca8d56013b77e091000000,2024-03-16 14:35:11,68713355719176301924,578922833256866288316,1160165998510754085,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0-0x853d955acef822db058eb8505911ed77f175b99e,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,0x853d955acef822db058eb8505911ed77f175b99e,FRAX
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xf96a5ec767ba23c801d9b49c29124f55fe2ed6a755a7e31ca284cdf0d075fea5a1000000,2024-03-16 13:55:59,1716593804942327677928,1545657473,3097510,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xfea931b4e3373131c8263452b3f56f60f29bb9c9b43cebfd91f06e0dff999a89ce000000,2024-03-15 06:59:59,80713556088215048527,461845952807625979646,925542991598448858,0x02f92800f57bcd74066f5709f1daa1a4302df875-0x6b175474e89094c44da98b954eedeac495271d0f,0x02f92800f57bcd74066f5709f1daa1a4302df875,PEAS,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xa0a27c20690e0e6717946b55527dd7f560125e28620a5f458769f09d4ec2d32a98010000,2024-03-15 05:10:35,2606161427101275795213,2365184963,4739850,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x0ad5ff04abe9fc048480951e9dfbfc96d9634ec03bc6611a920cff2e3f32f01757000000,2024-03-15 00:20:47,79531686991447475681,517085327535604166556,1036243141353916166,0x02f92800f57bcd74066f5709f1daa1a4302df875-0x6b175474e89094c44da98b954eedeac495271d0f,0x02f92800f57bcd74066f5709f1daa1a4302df875,PEAS,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
